articulated_course_year,hs_grad_year,hs_grad_status,gender,ethnicity,high_school,subject,course,hs_course_grade,final_exam_grade,credit_recommended,credit_status,id,took_mcc_course_as_non_hs_student,took_mcc_course_in_same_discipline,earned_degree,earned_coa,earned_cop
2022-2023,2024,Not Yet a Graduate,Male,Unknown/Unreported,Torrey Pines High School,BUS,AUTO130,A,A,Yes,Awarded,7580,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
2022-2023,2022,Graduate,Female,Asian,Carlsbad High School,NURS,BUS132,A,B,Yes,Awarded,4185,No,No,No,No,Not Applicable
2020-2021,2022,Graduate,Male,White,Canyon Crest Academy,ART,ART251,A,A,Yes,Awarded,6341,Yes,No,No,No,No
2020-2021,2024,Graduate,Male,White,Torrey Pines High School,ART,HOSP100,A,A,Yes,Awarded,6060,Not Applicable,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Male,White,Tri-City Christian School,HORT,MAT125,A,A,No,Denied,5855,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
2022-2023,2024,Not Yet a Graduate,Unknown/Unreported,White,Torrey Pines High School,BUS,BUS130,A,A,Yes,Awarded,9720,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
2022-2023,2024,Not Yet a Graduate,Male,Unknown/Unreported,Torrey Pines High School,MAP,ACCT101,A,B,No,Awarded,12771,Yes,No,Not Applicable,No,No
2022-2023,2024,Graduate,Male,White,Canyon Crest Academy,BUS,BUS130,A,A,Yes,Awarded,11512,Not Applicable,No,Not Applicable,Not Applicable,No
2022-2023,2025,Graduate,Male,Hispanic,Sage Creek High School,MAT,BUS130,A,B,Yes,Awarded,33,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2021,Graduate,Female,Hispanic,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,9651,No,No,No,No,No
2020-2021,2022,Not Yet a Graduate,Female,White,Torrey Pines High School,BUS,BUS120,A,D,No,Awarded,11610,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2020-2021,2022,Graduate,Female,Unknown/Unreported,El Camino High School,CS,CS111,A,A,Yes,Awarded,13552,No,No,No,Not Applicable,No
2022-2023,2025,Not Yet a Graduate,Male,Two or More Races,La Costa Canyon High School,ART,BUS132,A,A,Yes,Awarded,7337,Not Applicable,No,No,Not Applicable,Not Applicable
2021-2022,2025,Not Yet a Graduate,Male,Unknown/Unreported,Oceanside High School,BUS,BUS132,A,B,Yes,Awarded,8968,Yes,Yes,Not Applicable,Not Applicable,Not Applicable
2021-2022,2023,Graduate,Male,Two or More Races,Torrey Pines High School,CS,CS101,B,B,Yes,Awarded,4801,No,No,No,No,No
2021-2022,2024,Graduate,Female,White,La Costa Canyon High School,ACCT,BUS120,A,A,No,Denied,2522,No,No,Not Applicable,No,No
2021-2022,2022,Graduate,Male,White,Mission Vista High School,BUS,ART251,A,A,Yes,Awarded,2547,No,No,No,No,No
2022-2023,2024,Graduate,Female,Asian,Sage Creek High School,BUS,BUS120,A,A,Yes,Awarded,2853,Yes,Yes,Not Applicable,No,Not Applicable
2021-2022,2024,Graduate,Male,Two or More Races,Torrey Pines High School,MAT,ART251,,A,Yes,Awarded,6409,No,No,No,No,No
2020-2021,2025,Not Yet a Graduate,Male,White,Canyon Crest Academy,BUS,BUS120,A,B,Yes,Awarded,11621,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2020-2021,2021,Graduate,Female,Unknown/Unreported,Torrey Pines High School,MAT,BUS132,A,A,Yes,Awarded,11429,No,No,No,No,No
2020-2021,2021,Graduate,Unknown/Unreported,White,Carlsbad High School,CS,ACCT158,A,B,No,Awarded,3265,No,No,No,No,No
2022-2023,2024,Not Yet a Graduate,Female,White,El Camino High School,BUS,BUS130,A,A,Yes,Awarded,10620,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2024,Not Yet a Graduate,Male,Hispanic,San Dieguito Academy,BUS,BUS120,A,B,No,Awarded,2849,Yes,No,Not Applicable,No,Not Applicable
2022-2023,2025,Graduate,Male,Hispanic,Torrey Pines High School,BUS,BUS120,A,A,No,Denied,10794,Not Applicable,Yes,Not Applicable,No,No
2021-2022,2024,Graduate,Female,Two or More Races,Carlsbad High School,BUS,BUS120,A,A,Yes,Awarded,5933,Not Applicable,No,No,No,Not Applicable
2022-2023,2023,Graduate,Male,Unknown/Unreported,Carlsbad High School,DESN,HORT127,A,A,Yes,Awarded,8086,Not Applicable,No,No,No,No
2020-2021,2023,Graduate,Female,Unknown/Unreported,Sage Creek High School,BUS,BUS132,C,A,Yes,Awarded,104,No,No,No,No,No
2021-2022,2025,Not Yet a Graduate,Male,White,Canyon Crest Academy,BUS,MAT110,A,A,Yes,Awarded,3873,Not Applicable,No,No,Not Applicable,Not Applicable
2020-2021,2025,Graduate,Male,Hispanic,Sage Creek High School,NURS,BUS130,B,A,Yes,Awarded,6333,No,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Female,White,Canyon Crest Academy,HORT,MAP100,A,B,Yes,Awarded,3392,No,No,Not Applicable,Not Applicable,No
2020-2021,2023,Graduate,Female,White,Torrey Pines High School,HORT,BUS132,B,B,Yes,Awarded,13736,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Female,Black/African American,Sage Creek High School,NURS,BUS130,A,A,Yes,Awarded,11727,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2024,Graduate,Male,White,San Dieguito Academy,BUS,BUS130,A,B,Yes,Awarded,8923,Yes,No,No,Not Applicable,No
2020-2021,2023,Not Yet a Graduate,Male,Two or More Races,Sage Creek High School,BUS,BUS120,A,A,Yes,Awarded,13226,Not Applicable,Not Applicable,No,No,Not Applicable
2022-2023,2024,Graduate,Female,Two or More Races,El Camino High School,NURS,BUS132,A,A,Yes,Awarded,145,No,No,No,No,No
2021-2022,2022,Graduate,Male,Asian,La Costa Canyon High School,BUS,ART251,A,A,Yes,Awarded,5662,Not Applicable,No,No,No,No
2021-2022,2023,Graduate,Female,White,La Costa Canyon High School,NURS,BUS132,A,A,Yes,Awarded,13384,Yes,No,Not Applicable,Not Applicable,No
2021-2022,2025,Graduate,Male,White,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,9077,No,No,Not Applicable,No,Not Applicable
2020-2021,2022,Graduate,Male,Black/African American,Torrey Pines High School,BUS,CS101,A,A,Yes,Denied,5146,No,No,No,No,No
2020-2021,2024,Not Yet a Graduate,Female,White,Torrey Pines High School,MAT,BUS130,A,B,Yes,Awarded,2097,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
2022-2023,2022,Graduate,Male,White,Torrey Pines High School,ACCT,BUS130,A,B,No,Awarded,775,No,No,No,No,No
2020-2021,2025,Graduate,Female,Hispanic,Canyon Crest Academy,BUS,BUS130,A,A,Yes,Awarded,7542,No,No,Not Applicable,No,No
2022-2023,2024,Not Yet a Graduate,Female,Black/African American,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,6990,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2022,Graduate,Male,White,Altus Schools,BUS,NURS151,A,A,Yes,Awarded,8368,No,No,No,No,No
2020-2021,2022,Graduate,Female,White,Sage Creek High School,BUS,BUS132,A,B,No,Awarded,4190,No,No,No,No,No
2022-2023,2024,Graduate,Male,White,Torrey Pines High School,HORT,ART251,B,A,Yes,Awarded,3863,No,No,Not Applicable,No,No
2020-2021,2023,Graduate,Male,White,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,11566,No,No,No,No,No
2022-2023,2024,Graduate,Female,Asian,Torrey Pines High School,NURS,BUS132,A,A,Yes,Awarded,4508,Yes,No,Not Applicable,Not Applicable,No
2020-2021,2023,Graduate,Male,White,Canyon Crest Academy,BUS,BUS132,A,B,Yes,Awarded,11921,No,No,No,No,No
2020-2021,2024,Not Yet a Graduate,Unknown/Unreported,Hispanic,La Costa Canyon High School,HORT,MAT125,A,A,Yes,Awarded,9368,Not Applicable,Not Applicable,No,No,No
2022-2023,2024,Graduate,Female,White,La Costa Canyon High School,AUTO,BUS130,A,F,Yes,Denied,9999,No,No,No,No,No
2021-2022,2024,Not Yet a Graduate,Female,White,Torrey Pines High School,BUS,NURS151,B,B,Yes,Awarded,1568,Not Applicable,Not Applicable,No,Not Applicable,No
2021-2022,2023,Graduate,Unknown/Unreported,Asian,Canyon Crest Academy,AUTO,ART251,,C,No,Awarded,5718,Yes,Not Applicable,No,No,Not Applicable
2022-2023,2024,Not Yet a Graduate,Unknown/Unreported,Asian,Oceanside High School,BUS,BUS132,B,A,Yes,Denied,3635,Yes,Not Applicable,No,Not Applicable,No
2020-2021,2022,Graduate,Female,Black/African American,Canyon Crest Academy,ACCT,ACCT158,,A,Yes,Awarded,6971,No,No,No,No,No
2020-2021,2022,Not Yet a Graduate,Unknown/Unreported,White,Tri-City Christian School,ACCT,BUS120,A,C,No,Awarded,782,No,No,No,No,No
2022-2023,2027,Not Yet a Graduate,Female,White,Torrey Pines High School,BUS,BUS120,B,B,Yes,Awarded,8159,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2022,Graduate,Female,Hispanic,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,6383,No,No,No,No,No
2020-2021,2023,Graduate,Female,White,Altus Schools,ACCT,BUS120,A,A,Yes,Awarded,5293,No,No,No,No,No
2021-2022,2022,Graduate,Male,Hispanic,Torrey Pines High School,ACCT,BUS120,,A,No,Awarded,11944,No,No,No,No,No
2020-2021,2025,Graduate,Male,Hispanic,Canyon Crest Academy,MAT,BUS132,A,B,Yes,Awarded,5318,Yes,No,No,No,No
2021-2022,2023,Not Yet a Graduate,Female,Unknown/Unreported,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,781,No,No,Not Applicable,Not Applicable,No
2020-2021,2024,Graduate,Male,Hispanic,Carlsbad High School,BUS,BUS120,A,A,Yes,Awarded,2397,Yes,No,No,No,No
2020-2021,2024,Graduate,Male,White,Canyon Crest Academy,CHLD,ACCT158,A,C,Yes,Awarded,2849,Not Applicable,No,No,Yes,No
2020-2021,2022,Graduate,Male,White,Torrey Pines High School,BUS,NURS151,C,B,Yes,Awarded,11898,No,No,No,Not Applicable,No
2022-2023,2025,Graduate,Male,Asian,La Costa Canyon High School,BUS,BUS120,A,A,No,Awarded,9251,Yes,Yes,No,No,No
2022-2023,2024,Graduate,Female,White,Oceanside High School,ART,BUS130,A,D,Yes,Awarded,8078,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2024,Graduate,Female,Hispanic,Torrey Pines High School,AUTO,ART251,A,A,Yes,Awarded,9558,No,No,No,No,No
2021-2022,2024,Not Yet a Graduate,Female,Hispanic,Canyon Crest Academy,ACCT,BUS120,A,A,Yes,Awarded,4844,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2024,Graduate,Female,Hispanic,Torrey Pines High School,ACCT,BUS120,A,A,Yes,Awarded,5977,Yes,No,Yes,No,No
2021-2022,2023,Graduate,Male,Asian,Canyon Crest Academy,BUS,BUS120,B,,Yes,Denied,6056,No,Not Applicable,No,No,No
2021-2022,2024,Not Yet a Graduate,Female,White,La Costa Canyon High School,BUS,BUS120,A,A,No,Awarded,906,Not Applicable,Not Applicable,Not Applicable,No,No
2022-2023,2025,Graduate,Female,White,San Dieguito Academy,BUS,ACCT158,B,A,Yes,Denied,6476,No,No,No,No,No
2022-2023,2024,Not Yet a Graduate,Unknown/Unreported,Two or More Races,Carlsbad High School,BUS,BUS132,A,A,Yes,Awarded,7561,Yes,No,No,No,Not Applicable
2022-2023,2023,Graduate,Male,Two or More Races,Oceanside High School,BUS,ACCT158,C,C,Yes,Awarded,5993,Not Applicable,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Male,White,La Costa Canyon High School,BUS,BUS132,A,B,Yes,Denied,9462,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable
2022-2023,2023,Graduate,Male,Hispanic,Oceanside High School,BUS,BUS120,A,A,Yes,Awarded,8076,No,No,No,No,No
2021-2022,2025,Not Yet a Graduate,Female,Hispanic,Torrey Pines High School,BUS,BUS132,A,A,Yes,Awarded,7074,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2022,Graduate,Male,White,Torrey Pines High School,BUS,KINE190,A,D,Yes,Awarded,9988,No,No,Not Applicable,No,No
2022-2023,2026,Graduate,Male,Hispanic,La Costa Canyon High School,BUS,BUS120,B,B,Yes,Awarded,13052,No,Not Applicable,No,No,No
2022-2023,2023,Graduate,Male,Unknown/Unreported,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,4013,No,No,No,No,No
2022-2023,2024,Not Yet a Graduate,Male,Hispanic,Sage Creek High School,BUS,ACCT158,A,B,Yes,Awarded,9647,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2021-2022,2023,Graduate,Female,White,Torrey Pines High School,AUTO,BUS130,A,A,No,Awarded,5717,No,No,No,No,No
2020-2021,2023,Not Yet a Graduate,Male,Asian,Oceanside High School,BUS,BUS130,A,A,Yes,Awarded,7659,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2020-2021,2023,Graduate,Female,Unknown/Unreported,San Dieguito Academy,BUS,BUS120,A,B,Yes,Awarded,7419,No,No,No,No,No
2020-2021,2021,Graduate,Male,Hispanic,La Costa Canyon High School,ART,HORT127,A,A,Yes,Awarded,48,No,No,No,No,No
2020-2021,2025,Not Yet a Graduate,Male,White,El Camino High School,BUS,BUS120,A,A,Yes,Awarded,1130,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2023,Graduate,Male,White,Altus Schools,BUS,ACCT158,A,A,Yes,Awarded,6056,Yes,No,No,No,No
2020-2021,2026,Not Yet a Graduate,Male,White,Canyon Crest Academy,FILM,DESN207,A,B,Yes,Awarded,13102,Yes,No,Not Applicable,Not Applicable,No
2021-2022,2022,Graduate,Male,Hispanic,Canyon Crest Academy,BUS,BUS132,A,B,Yes,Awarded,12942,No,No,No,No,No
2020-2021,2023,Not Yet a Graduate,Female,Asian,Torrey Pines High School,ACCT,BUS120,A,B,Yes,Awarded,7838,No,Not Applicable,No,No,Not Applicable
2022-2023,2025,Graduate,Male,White,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,2109,Yes,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Female,White,Oceanside High School,BUS,ACCT158,A,A,Yes,Awarded,1252,Not Applicable,Not Applicable,No,Not Applicable,No
2021-2022,2024,Graduate,Male,Hispanic,El Camino High School,BUS,BUS130,B,A,Yes,Awarded,13274,No,Not Applicable,Not Applicable,Not Applicable,No
2022-2023,2026,Graduate,Male,Asian,Canyon Crest Academy,MAT,ART253,A,A,Yes,Awarded,3456,Yes,No,No,No,Not Applicable
2020-2021,2023,Graduate,Male,White,Torrey Pines High School,BUS,NURS151,B,A,Yes,Awarded,6455,No,No,No,No,No
2021-2022,2022,Graduate,Male,White,Sage Creek High School,ART,ART251,A,A,Yes,Awarded,12600,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Male,Asian,Torrey Pines High School,AUTO,AUTO130,A,A,Yes,Awarded,11852,No,No,No,No,No
2020-2021,2025,Graduate,Male,White,Altus Schools,ART,ART251,A,A,Yes,Awarded,8881,Yes,No,No,Not Applicable,No
2020-2021,2023,Graduate,Male,Unknown/Unreported,Carlsbad High School,BUS,BUS120,A,A,Yes,Awarded,681,No,No,No,Not Applicable,Not Applicable
2021-2022,2022,Graduate,Female,White,Torrey Pines High School,NURS,BUS132,A,A,Yes,Awarded,9941,No,No,No,No,No
2022-2023,2025,Graduate,Female,Asian,Canyon Crest Academy,BUS,BUS132,A,A,No,Awarded,7890,No,No,No,No,No
2020-2021,2023,Graduate,Female,White,San Dieguito Academy,BUS,ART251,A,A,Yes,Awarded,2242,No,Not Applicable,Not Applicable,No,No
2020-2021,2021,Graduate,Male,White,Canyon Crest Academy,BUS,NURS151,A,A,Yes,Awarded,11734,No,No,No,No,No
2022-2023,2025,Graduate,Male,Hispanic,Sage Creek High School,ART,MAT125,A,B,Yes,Awarded,12298,Not Applicable,No,No,No,Not Applicable
2020-2021,2023,Graduate,Male,White,Sage Creek High School,BUS,AUTO102,C,B,Yes,Awarded,12926,Not Applicable,No,No,Not Applicable,No
2022-2023,2024,Graduate,Male,Hispanic,Carlsbad High School,AUTO,MTEC110,A,,Yes,Awarded,3506,No,No,No,No,No
2021-2022,2025,Graduate,Female,White,San Dieguito Academy,BUS,ACCT158,A,B,Yes,Awarded,5712,Yes,No,No,Not Applicable,No
2020-2021,2025,Not Yet a Graduate,Male,Hispanic,Altus Schools,BUS,ACCT158,B,,Yes,Awarded,9292,No,No,Not Applicable,No,No
2021-2022,2024,Graduate,Female,White,La Costa Canyon High School,ART,KINE190,A,A,No,Denied,12105,Yes,No,No,No,No
2021-2022,2023,Graduate,Female,Hispanic,La Costa Canyon High School,NURS,BUS132,A,A,Yes,Awarded,10735,No,No,Not Applicable,Not Applicable,Not Applicable
2021-2022,2024,Graduate,Female,White,La Costa Canyon High School,ACCT,BUS120,A,A,Yes,Awarded,2789,No,No,No,No,No
2021-2022,2024,Graduate,Male,Hispanic,Tri-City Christian School,AUTO,MAP100,A,A,Yes,Awarded,1731,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2022-2023,2023,Graduate,Female,White,Mission Vista High School,BUS,BUS130,A,A,Yes,Awarded,12741,Not Applicable,No,Not Applicable,No,No
2021-2022,2021,Graduate,Male,White,La Costa Canyon High School,BUS,BUS130,D,A,Yes,Awarded,8293,No,No,No,No,No
2021-2022,2024,Graduate,Male,White,Carlsbad High School,BUS,BUS132,B,B,Yes,Awarded,2047,No,No,No,No,Not Applicable
2021-2022,2022,Graduate,Female,Hispanic,Torrey Pines High School,NURS,AUTO102,A,A,Yes,Denied,12622,No,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Male,White,La Costa Canyon High School,MAP,ART251,A,A,Yes,Awarded,2426,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2022-2023,2024,Graduate,Male,Hispanic,Canyon Crest Academy,FILM,MAP100,N,A,Yes,Awarded,4669,Yes,No,No,Not Applicable,Not Applicable
2021-2022,2024,Not Yet a Graduate,Male,White,San Dieguito Academy,BUS,BUS120,,A,No,Awarded,11285,Yes,No,Not Applicable,Not Applicable,No
2020-2021,2025,Not Yet a Graduate,Unknown/Unreported,White,Carlsbad High School,BUS,BUS120,A,A,Yes,Awarded,4419,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2021-2022,2022,Graduate,Male,White,Mission Vista High School,MAT,DESN100,F,A,Yes,Denied,10214,No,No,No,No,No
2021-2022,2022,Graduate,Female,Two or More Races,Torrey Pines High School,BUS,NURS151,A,A,Yes,Awarded,11889,No,No,No,No,No
2022-2023,2024,Graduate,Male,White,Torrey Pines High School,ACCT,ACCT158,B,A,Yes,Awarded,10750,No,No,No,No,No
2021-2022,2023,Graduate,Female,Hispanic,Oceanside High School,BUS,DESN100,A,,Yes,Awarded,1216,No,Not Applicable,No,Not Applicable,No
2020-2021,2024,Graduate,Female,Asian,Sage Creek High School,ART,ART251,A,A,Yes,Awarded,9580,No,No,No,No,No
2022-2023,2025,Graduate,Male,White,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,6631,Not Applicable,No,Not Applicable,No,Not Applicable
2021-2022,2026,Graduate,Male,Asian,San Dieguito Academy,NURS,MAT110,A,N,No,Awarded,4582,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2020-2021,2022,Not Yet a Graduate,Male,White,Sage Creek High School,AUTO,BUS132,A,,No,Denied,108,Yes,No,Not Applicable,No,Not Applicable
2021-2022,2024,Graduate,Male,Hispanic,Carlsbad High School,AUTO,MAT110,B,A,Yes,Denied,3406,No,No,No,No,No
2022-2023,2022,Graduate,Unknown/Unreported,Middle Eastern or North African,La Costa Canyon High School,BUS,BUS130,A,A,Yes,Awarded,342,No,No,No,No,No
2022-2023,2023,Graduate,Female,Hispanic,El Camino High School,ART,DESN100,A,A,Yes,Awarded,12974,No,No,No,No,No
2021-2022,2025,Not Yet a Graduate,Female,Unknown,Torrey Pines High School,BUS,BUS130,A,F,Yes,Awarded,3680,Not Applicable,No,Not Applicable,Not Applicable,No
2022-2023,2024,Graduate,Female,Unknown/Unreported,Sage Creek High School,NURS,BUS130,C,C,Yes,Awarded,3193,Yes,No,No,No,No
2021-2022,2021,Graduate,Female,White,Sage Creek High School,DESN,KINE190,A,A,No,Awarded,1548,No,No,No,No,No
2020-2021,2022,Graduate,Female,White,El Camino High School,BUS,BUS120,B,A,Yes,Awarded,13246,No,No,No,No,No
2020-2021,2023,Not Yet a Graduate,Male,Unknown/Unreported,Torrey Pines High School,MAT,ART251,A,A,Yes,Awarded,5465,Not Applicable,Yes,No,Not Applicable,No
2022-2023,2024,Graduate,Female,Asian,Mt. Carmel High School,BUS,BUS120,A,C,Yes,Awarded,10436,Not Applicable,Yes,Yes,Not Applicable,No
2022-2023,2025,Graduate,Unknown/Unreported,White,La Costa Canyon High School,BUS,ACCT158,A,F,Yes,Awarded,6618,No,No,No,No,No
2021-2022,2023,Graduate,Female,White,Carlsbad High School,BUS,BUS120,A,A,Yes,Denied,5713,No,No,No,No,No
2022-2023,2024,Graduate,Female,Hispanic,San Dieguito Academy,BUS,BUS120,A,N,Yes,Awarded,10697,Not Applicable,No,Not Applicable,No,No
2021-2022,2023,Graduate,Female,Two or More Races,La Costa Canyon High School,DESN, ACCT101,A,A,Yes,Awarded,10522,No,No,No,No,No
2020-2021,2024,Not Yet a Graduate,Female,White,Mt. Carmel High School,ACCT,BUS120,A,A,Yes,Awarded,9331,No,No,Not Applicable,No,No
2021-2022,2024,Not Yet a Graduate,Female,Hispanic,Torrey Pines High School,BUS,BUS130,A,A,Yes,Awarded,3529,Yes,Not Applicable,No,Not Applicable,Not Applicable
